Solute_SMILES,Solvent_SMILES,T_K,ln_gamma_inf
CCCCCC,CCO,322.2,2.302585092994046
CCCCCC,CCO,333.2,1.979621206397625
CCCCCC,CCO,333.2,2.272125885509337
CCCCCC,CCO,350.9,2.0918640616783932
CCCCCC,CCO,354.2,2.163323025660538
CCCCCC,CCO,373.2,2.128231705849268
c1ccncc1,CCO,313.2,-0.040821994520255166
c1ccncc1,CCO,336.4,-0.040821994520255166
c1ccncc1,CCO,350.6,-0.06187540371808753
CCCCCCCC,CCO,298.2,2.7800607370784824
CCCCCCCC,CCO,298.2,2.738902664584975
CCCCCCCC,CCO,322.2,2.6741486494265287
CCCCCCCC,CCO,338.0,2.5726122302071057
CCCCCCCC,CCO,343.2,2.658859956911438
CCCCCCCC,CCO,353.7,2.5649493574615367
CCCCCCCCC,CCO,298.2,2.9780773383152703
CCCCCCCCC,CCO,301.1,3.0349529867072724
CCCCCCCCC,CCO,320.9,2.9856819377004897
CCCCCCCCC,CCO,320.9,2.9391619220655967
CCCCCCCCC,CCO,355.2,2.740840023925201
CNC=O,CCO,303.2,0.37843643572024505
CNC=O,CCO,313.2,0.3576744442718159
C1COCCO1,CCO,298.2,1.1314021114911006
C1COCCO1,CCO,323.2,1.0612565021243408
C1COCCO1,CCO,323.2,1.0438040521731147
CCOC(C)=O,CCO,298.2,1.2837077723447896
CCOC(C)=O,CCO,328.2,0.9631743177730056
CCCCCCC,CCO,293.5,2.5416019934645457
CCCCCCC,CCO,298.2,2.570319527636131
CCCCCCC,CCO,303.2,2.70805020110221
CCCCCCC,CCO,303.2,2.574899688314705
CCCCCCC,CCO,303.3,2.5733752977756086
CCCCCCC,CCO,303.3,2.4765384001174837
CCCCCCC,CCO,313.1,2.4069451083182885
CCCCCCC,CCO,313.2,2.73046379593911
CCCCCCC,CCO,313.2,2.6461747973841225
CCCCCCC,CCO,313.2,2.5556757206762075
CCCCCCC,CCO,319.4,2.468099531471619
CCCCCCC,CCO,322.2,2.4849066497880004
CCCCCCC,CCO,322.8,2.3513752571634776
CCCCCCC,CCO,323.2,2.5877640352277083
CCCCCCC,CCO,323.2,2.4475508632442313
CCCCCCC,CCO,333.2,2.6539459421090092
CCCCCCC,CCO,335.2,2.388762789235098
CCCCCCC,CCO,337.7,2.4159137783010487
CCCCCCC,CCO,343.1,2.388762789235098
CCCCCCC,CCO,347.8,2.33214389523559
CCCCCCC,CCO,354.2,2.379546134130174
C1CCCC1,CCO,313.2,1.916922612182061
CC(C)CC(C)(C)C,CCO,296.7,2.6390573296152584
CC(C)CC(C)(C)C,CCO,318.7,2.5572273113676265
CC(C)CC(C)(C)C,CCO,333.2,2.495681722955959
CC(C)CC(C)(C)C,CCO,337.0,2.501435951739211
CC(C)CC(C)(C)C,CCO,353.2,2.4765384001174837
CC(C)C(C)C(C)C,CCO,298.2,2.5915163848462583
CC(C)CCC(C)C,CCO,298.2,2.6609585935683597
COC(=O)OC,CCO,313.2,1.6937790608678513
CCC1CCCCC1,CCO,298.2,2.5974910105351463
ClC(Cl)(Cl)Cl,CO,293.2,2.012232791986386
ClC(Cl)(Cl)Cl,CO,298.2,2.0255131996542803
ClC(Cl)(Cl)Cl,CO,313.2,1.9768549529047348
ClC(Cl)(Cl)Cl,CO,333.2,1.8748743759385615
CCOCC,CO,298.2,1.244154593958768
CCOCC,CO,338.2,1.1908875647772805
CCOCC,CO,388.2,1.091923300517313
CCO,CO,337.0,0.01980262729617973
CC(C)=O,CO,298.2,0.7701082216960737
CC(C)=O,CO,303.2,0.7466879474879751
CC(C)=O,CO,308.2,0.712949807856125
CC(C)=O,CO,313.2,0.6931471805599453
CC(C)=O,CO,313.2,0.6981347220709843
CC(C)=O,CO,323.2,0.6626879730752367
CC(C)=O,CO,337.7,0.5423242908253617
CC(C)=O,CO,337.8,0.6043159668533296
CC(C)=O,CO,337.8,0.6830968447064438
ClC(Cl)Cl,CO,293.2,0.7929925155296614
ClC(Cl)Cl,CO,298.2,0.85015092936961
ClC(Cl)Cl,CO,303.2,0.8241754429663494
ClC(Cl)Cl,CO,317.7,0.8878912573524571
ClC(Cl)Cl,CO,323.2,1.0473189942805592
ClC(Cl)Cl,CO,328.2,0.8712933659434193
CCCO,CO,313.2,0.12221763272424911
CCCO,CO,333.2,0.11332868530700327
CCCCO,CO,313.2,0.26236426446749106
c1ccccc1,CO,298.2,1.8671761085128091
c1ccccc1,CO,298.2,1.9198594718553708
c1ccccc1,CO,298.2,1.9459101490553132
c1ccccc1,CO,298.2,1.969905654611529
c1ccccc1,CO,298.2,2.0149030205422647
c1ccccc1,CO,303.2,1.969905654611529
c1ccccc1,CO,333.2,1.7578579175523736
c1ccccc1,CO,373.2,1.547562508716013
CC#N,CO,326.0,0.9783261227936078
CC#N,CO,333.5,0.9555114450274363
ClCCl,CO,298.2,1.0331844833456545
ClCCl,CO,298.2,1.1817271953786161
ClCCl,CO,348.2,1.1631508098056809
ClCCl,CO,398.2,1.1786549963416462
C[N+](=O)[O-],CO,298.2,1.7209792871670078
C[N+](=O)[O-],CO,298.2,1.7369512327330598
C[N+](=O)[O-],CO,308.7,1.6193882432872684
C[N+](=O)[O-],CO,318.5,1.547562508716013
C[N+](=O)[O-],CO,328.5,1.4445632692438664
C[N+](=O)[O-],CO,337.0,1.3428648031925547
C[N+](=O)[O-],CO,348.2,1.4206957878372228
C[N+](=O)[O-],CO,388.2,1.1908875647772805
CC(C)(C)O,CO,313.2,-0.35667494393873245
CC(C)CO,CO,313.2,0.22314355131420976
CNC(C)=O,CO,398.6,-0.35667494393873245
CCc1ccccc1,CO,298.2,2.580216829592325
CCc1ccccc1,CO,298.2,2.631888840136646
CCCCc1ccccc1,CO,298.2,3.1986731175506815
CCCCc1ccccc1,CO,298.2,3.2108436531709366
Cc1ccc(C)cc1,CO,313.2,2.546315277916644
ClCCCl,CO,323.2,1.599387576580599
CCCC(C)C,CO,298.2,3.173878458937465
CC(C)CC(C)C,CO,298.2,3.4041928906419536
Cc1cccc(C)n1,CO,313.2,-0.020202707317519466
Cc1ccccc1,CO,298.2,2.269028309465203
Cc1ccccc1,CO,298.2,2.306577114263583
Cc1ccccc1,CO,298.2,2.312535423847214
Cc1ccccc1,CO,303.2,2.299580583973747
Cc1ccccc1,CO,307.2,2.286455711064162
Cc1ccccc1,CO,308.2,2.312535423847214
Cc1ccccc1,CO,308.7,2.272125885509337
Cc1ccccc1,CO,318.2,2.2793164660546914
Cc1ccccc1,CO,318.5,2.2428350885882717
Cc1ccccc1,CO,328.2,2.2438960966453663
Cc1ccccc1,CO,328.5,2.21375387928743
Cc1ccccc1,CO,337.0,2.186051276738094
Cc1ccccc1,CO,337.2,2.2202898502672155
Clc1ccccc1,CO,328.2,2.169053700369523
CCCCC,CO,298.2,2.970414465569701
CCCCC,CO,298.2,2.913437030827161
CCCCC,CO,303.2,3.0106208860477417
CCCCC,CO,313.2,2.917770732084279
CCCC#N,CO,278.2,1.3787660946990992
CCCC#N,CO,288.2,1.269760544863939
CCCC#N,CO,298.2,1.2383742310432684
CCCC#N,CO,308.2,1.1969481893889715
CCCC#N,CO,318.2,1.1537315878891892
CCCCCC,CO,298.2,3.295836866004329
CCCCCC,CO,298.2,3.2538567937634464
CCCCCC,CO,303.2,3.254242968705492
CCCCCC,CO,313.2,3.1570004211501135
CCCCCC,CO,333.2,2.9444389791664403
CCCCCC,CO,373.2,2.6026896854443837
c1ccncc1,CO,298.2,-0.19845093872383832
c1ccncc1,CO,308.2,-0.13926206733350766
c1ccncc1,CO,313.2,-0.11653381625595151
c1ccncc1,CO,318.2,-0.09431067947124129
CCCCCCCC,CO,298.2,3.8716175907931074
CCCCCCCC,CO,298.2,3.8255932774297583
CCCCCCCC,CO,308.7,3.765840495250065
CCCCCCCC,CO,318.5,3.681351187693145
CCCCCCCC,CO,328.5,3.580737295494233
CCCCCCCC,CO,337.0,3.475067230228611
CCCCCCCCC,CO,298.2,4.171151270461866
CNC=O,CO,303.2,0.16551443847757333
CNC=O,CO,313.2,0.131028262406404
C1COCCO1,CO,298.2,1.220829921392359
C1COCCO1,CO,308.7,1.172482137234565
C1COCCO1,CO,318.5,1.1378330018213911
C1COCCO1,CO,328.5,1.091923300517313
C1COCCO1,CO,337.0,1.0577902941478545
CCCCCCC,CO,298.2,3.559340082758951
CCCCCCC,CO,303.2,3.55820113047182
CCCCCCC,CO,313.2,3.456316680883235
C1CCCC1,CO,288.2,2.785011242238338
CC(C)C(C)C(C)C,CO,298.2,3.6152329139456376
CC(C)CCC(C)C,CO,298.2,3.680090948080857
COC(=O)OC,CO,313.2,1.6956156086751528
CCC1CCCCC1,CO,298.2,3.6653549090669792
ClC(Cl)(Cl)Cl,CC(C)O,354.8,1.2267122912954254
CCO,CC(C)O,298.2,-0.12783337150988489
ClC(Cl)Cl,CC(C)O,323.2,0.6678293725756554
CCCCO,CC(C)O,313.2,-0.020202707317519466
c1ccccc1,CC(C)O,298.2,1.5040773967762742
c1ccccc1,CC(C)O,298.2,1.4445632692438664
