Solute_SMILES,Solvent_SMILES,T_K,ln_gamma_inf,ln_gamma_inf_pred_mosced
O,CCCCCC,283.15,8.076695547483276,12.678475714071224
O,CCCCCC,293.15,7.900695892476207,12.285245621783258
O,CCCCCC,298.15,7.861411157356256,12.081099734383375
O,C1CCCCC1,301.65,7.264198196004706,11.595789831195574
O,C1CCCCC1,303.15,7.00850518208228,11.536516233911708
O,C1CCCCC1,303.25,7.293901642703902,11.532559868604338
O,C1CCCCC1,305.65,6.976730816985532,11.437449352459096
O,C1CCCCC1,313.15,6.987545647128425,11.13891660397784
O,C1CCCCC1,313.15,7.029326685247924,11.13891660397784
O,C1CCCCC1,313.15,7.40053505141701,11.13891660397784
O,c1ccncc1,343.15,1.0591782194227026,1.947659703062978
O,c1ccncc1,353.15,1.0967605753046352,1.8716090076039456
O,c1ccncc1,363.15,1.0383773825693057,1.800897226314568
O,c1ccncc1,373.15,1.0263354594611644,1.734878820855403
O,CCCCCCCCO,322.94,2.117880699498297,6.912799740391919
O,CCCCCCCCO,332.8,2.179480296856685,6.597615307391923
O,CCOC(C)=O,309.45,2.501575286293996,4.561453633414326
O,CCOC(C)=O,313.15,2.473972084735221,4.495276254718531
O,CCOC(C)=O,318.55,2.376569486083618,4.398986485364853
O,CCCCCCC,295.65,8.049015094871265,13.770281520056448
O,C1CCCC1,293.15,7.492275503761485,10.36421866260251
O,C1CCCC1,303.15,6.943093464871193,10.028810307311153
O,CC(C)CC(C)(C)C,283.15,7.844918653716874,14.6785702906331
O,CC(C)CC(C)(C)C,283.15,7.88757277033561,14.6785702906331
O,ClC(Cl)(Cl)Cl,298.15,6.876939306833555,9.551072803744088
O,ClC(Cl)Cl,298.15,5.227057641975661,6.68605602521794
O,CCCCCO,298.15,1.0304512139993895,5.756200726608405
O,CC(Cl)(Cl)Cl,298.15,5.83635048671198,9.455078907031334
O,CC(Cl)Cl,298.15,5.231103269246705,7.311462540260104
O,CC(C)C(C)C,298.15,7.372608165900305,11.552240728302102
O,ClCCCl,298.15,4.563865783461136,6.923919052888119
O,Cc1ccccc1,298.15,5.87524528811528,9.145891100390504
O,CCCCC,298.15,8.153548299439315,10.438274656372323
O,CCCCCCCC,298.15,7.4358509139130815,15.24295007481157
O,CCOC(C)=O,298.15,1.956724321682644,4.763574664226012
O,CCCCCCC,298.15,7.409505848728408,13.652950440289697
O,CCOCC,298.15,2.980826735917011,5.4370057715570645
O,CCBr,298.15,5.53547032623531,6.485696080777595
O,ClCCl,298.15,4.808421185963076,5.442763472210537
O,c1ccc2ncccc2c1,333.15,0.5788019787750849,4.323116209920762
O,CCOC(=O)c1ccccc1,298.15,3.0849786510681856,11.72038999545119
O,CC(C)c1ccccc1,298.15,5.952549587207411,12.016302573949886
O,CC(=O)c1ccccc1,368.775,1.538085831628634,5.021550117923963
O,CCc1ccccc1,298.15,5.92558913272674,10.8248801154989
O,N#Cc1ccccc1,298.15,2.9187702324173626,5.229144167713621
O,COc1ccccc1,298.15,4.456044692071107,8.169097350686641
O,CCCCc1ccccc1,298.15,6.009400236681516,13.988154519966637
O,Cc1ccc(C)cc1,298.15,5.923592475861147,10.21903344964475
O,CC(C)OC(C)C,298.15,3.2736935013186392,8.024736118334873
O,CCCOC(C)=O,298.15,2.401760520367848,4.944539661808681
O,CCOCCO,341.15,0.4197755567814918,0.9789580105127323
O,CCCCCCO,298.15,1.2085423480403057,6.506706561086182
O,CC(=O)OCc1ccccc1,298.15,3.3337996658091296,8.931915975148186
